Disaggregation,Number of indicators,Number of values
Age at First Union,2,4
Age Group,11,57
Age group,1,12
Agency,1,2
Area of Residence,1,5
Category of Child Labour,1,30
Category of E-waste,1,2
Category of International Health Regulations,1,13
Category,16,39
category,1,4
Description,5,34
Descriptor,1,8
Development Type,1,7
Disaggregation Level,2,12
DRR Strategy Score,1,1
Educational Level,1,3
Educational Status,1,4
Enrolment Status,1,2
Event,4,117
Financial Institution,1,2
Financial institution,1,2
Financial soundness indicators-deposit-taking institution,1,31
Financial soundness indicators,1,1
Form of Sexual Violence,1,11
Form of Violence,1,13
GDP (Tourism),1,5
Gender,1,3
Geogaphical Region,3,1
Geographic Location,2,9
Geographic region,1,1
Geographic Region,5,21
Geographical Area,7,28
Geographical Region,30,19
Geographical region,4,8
Geographical Regions,3,7
Group,1,10
Hepatitis B Indicator,1,1
HIV Indicators,1,3
House of Parliament,1,4
House of Parliament/Local Government Representative,1,4
ICT Infrastructure and Access Indicators,1,4
ICT Skill,1,9
Indicator for harmful drug,1,1
Indicator for road traffic injuries,1,1
Indicator Treatment Intervention,1,2
Indicator Type,1,1
Indicator,8,9
Indicators,1,5
Infrastructure Type,1,7
Institution Type,1,4
IPCC Class,1,9
Kapos Mountain Class,1,7
Land Use or Cover Classification,1,17
Location of Shelter,1,5
Main Source of Income,1,4
Malaria Indicator,1,1
Manufacturing Indicator,1,2
Measurement,1,15
Ministry,1,3
Mode of transport,1,3
Monitored Area,1,26
Mortality Indictor,1,2
Name of test,1,13
Name of Weather Event,1,30
Official Development Assistance Flows for Scholarships (USD),1,1
Parish,3,22
Partner Status,2,5
Pollutant,1,10
Population Group,1,13
Preschool attendance,1,2
Proportion of bribery Incident,1,1
Quarter,5,12
quarter,1,4
Ratio,1,12
Reasons for not accessing the treatment,1,7
Region,1,3
River,1,15
Safety at time of day,1,2
School Type,1,2
Sex,27,7
Source of Primary Energy Supply,1,10
Source of Vaccination Record,1,6
Source,2,2
Status of Corruption Charges,1,4
Status,1,10
Strategy Measure,1,3
Subject,1,1
Tenure,1,5
Time Vaccinated,1,11
Tubercolosis Indicator,1,1
Type of Benefit,1,6
Type of bribe,1,2
Type of Crime,1,16
Type of Debt,1,3
Type of Detainee,1,1
Type of Development Assistance,2,5
Type of Effect,1,21
Type of employment,1,3
Type of Facility. Proteted Area,1,14
Type of GDP by Income at Market Prices,1,9
Type of Health Worker,1,11
Type of Land Tenure,1,6
Type of mineral,1,20
Type of Official International Support,1,3
Type of Punishment,1,5
Type of Rate,1,3
Type of school,1,3
Type of Species,1,17
Type of Toilet Facility,1,11
Type of Transpotation,1,7
Type of Violence,2,3
Type of Waste Collected,1,13
Type of waste composition,1,10
Type,2,11
unit,1,2
Unit,48,53
Vaccination Indicator,1,26
Watershed,1,5
Wealth Index Quintiles,3,5
Wealth Quintile,2,9
